food_name,serving_description,serving_size_g,calories,fat,carbohydrate,protein,fatsecret_url,source,air,serat,kategori,label_kategori,asal_daerah
Blewah,100 gram,100.0,34,0.2,8.2,0.8,,tkpi_buah,90.2,0.9,0.0,Rendah Kalori & Tinggi Air,Umum
Buah atung,100 gram,100.0,23,0.2,5.2,0.8,,tkpi_buah,92.0,0.0,0.0,Rendah Kalori & Tinggi Air,Umum
Buah kelenting,100 gram,100.0,110,2.1,21.4,1.4,,tkpi_buah,73.9,0.0,2.0,Padat Kalori & Energi,Umum
Buah kom,100 gram,100.0,264,1.1,59.6,4.0,,tkpi_buah,33.7,9.0,2.0,Padat Kalori & Energi,Umum
Buah mentega,100 gram,100.0,39,0.2,9.7,0.7,,tkpi_buah,89.0,2.0,0.0,Rendah Kalori & Tinggi Air,Umum
Buah naga merah,100 gram,100.0,71,3.1,9.1,1.7,,tkpi_buah,85.7,3.2,1.0,Serat Tinggi & Kalori Sedang,Umum
Buah naga putih,100 gram,100.0,56,1.0,10.9,0.8,,tkpi_buah,86.6,3.2,0.0,Rendah Kalori & Tinggi Air,Umum
Buah negri,100 gram,100.0,55,0.1,12.2,1.2,,tkpi_buah,85.7,5.2,0.0,Rendah Kalori & Tinggi Air,Umum
Buah nona,100 gram,100.0,101,0.6,25.2,1.7,,tkpi_buah,71.5,2.8,2.0,Padat Kalori & Energi,Umum
Buah rotan,100 gram,100.0,78,0.3,18.2,0.6,,tkpi_buah,79.4,0.0,1.0,Serat Tinggi & Kalori Sedang,Umum
Buah rukam,100 gram,100.0,113,0.3,26.8,0.8,,tkpi_buah,71.3,7.7,2.0,Padat Kalori & Energi,Umum
Buah ruruhi,100 gram,100.0,29,0.7,3.6,2.1,,tkpi_buah,93.0,2.6,0.0,Rendah Kalori & Tinggi Air,Umum
Buah tuppa,100 gram,100.0,67,0.2,15.9,0.4,,tkpi_buah,82.5,0.0,1.0,Serat Tinggi & Kalori Sedang,Umum
Carica papaya,100 gram,100.0,24,0.2,3.7,1.9,,tkpi_buah,93.4,1.0,0.0,Rendah Kalori & Tinggi Air,Umum
Cempedak,100 gram,100.0,116,0.4,28.6,3.0,,tkpi_buah,67.0,3.4,2.0,Padat Kalori & Energi,Umum
Duku,100 gram,100.0,63,0.2,16.1,1.0,,tkpi_buah,82.0,4.3,1.0,Serat Tinggi & Kalori Sedang,Umum
Durian,100 gram,100.0,134,3.0,28.0,2.5,,tkpi_buah,65.0,3.5,2.0,Padat Kalori & Energi,Umum
Duwet,100 gram,100.0,80,0.6,18.2,0.5,,tkpi_buah,80.2,0.9,1.0,Serat Tinggi & Kalori Sedang,Umum
Embacang,100 gram,100.0,98,0.2,25.4,1.4,,tkpi_buah,72.5,1.9,1.0,Serat Tinggi & Kalori Sedang,Umum
Encung asam,100 gram,100.0,122,4.5,17.5,3.5,,tkpi_buah,73.0,9.3,2.0,Padat Kalori & Energi,Umum
Erbis,100 gram,100.0,70,0.0,18.9,0.6,,tkpi_buah,80.0,7.7,1.0,Serat Tinggi & Kalori Sedang,Umum
Gandaria masak,100 gram,100.0,68,0.1,18.0,0.7,,tkpi_buah,80.8,2.2,1.0,Serat Tinggi & Kalori Sedang,Umum
Gatep,100 gram,100.0,191,1.5,39.7,4.5,,tkpi_buah,52.7,13.4,2.0,Padat Kalori & Energi,Umum
Jambu air,100 gram,100.0,46,0.2,11.8,0.6,,tkpi_buah,87.0,2.1,0.0,Rendah Kalori & Tinggi Air,Umum
Jambu biji,100 gram,100.0,49,0.3,12.2,0.9,,tkpi_buah,86.0,2.4,0.0,Rendah Kalori & Tinggi Air,Umum
Jambu biji putih,100 gram,100.0,61,0.3,15.4,0.9,,tkpi_buah,82.8,4.5,1.0,Serat Tinggi & Kalori Sedang,Umum
Jambu bol,100 gram,100.0,49,0.2,9.6,2.3,,tkpi_buah,87.1,3.5,0.0,Rendah Kalori & Tinggi Air,Umum
Jambu monyet,100 gram,100.0,64,0.6,15.8,0.7,,tkpi_buah,82.6,1.2,1.0,Serat Tinggi & Kalori Sedang,Umum
Jeruk bali,100 gram,100.0,48,0.2,12.4,0.6,,tkpi_buah,86.3,0.8,0.0,Rendah Kalori & Tinggi Air,Umum
Jeruk banjar,100 gram,100.0,61,0.2,14.1,0.8,,tkpi_buah,84.5,0.0,1.0,Serat Tinggi & Kalori Sedang,Umum
Jeruk garut,100 gram,100.0,44,0.3,10.9,0.8,,tkpi_buah,87.3,1.6,0.0,Rendah Kalori & Tinggi Air,Umum
Jeruk kalamansi,100 gram,100.0,39,0.3,8.9,0.3,,tkpi_buah,90.2,2.3,0.0,Rendah Kalori & Tinggi Air,Umum
Jeruk manis,100 gram,100.0,45,0.2,11.2,0.9,,tkpi_buah,87.2,1.4,0.0,Rendah Kalori & Tinggi Air,Umum
Jeruk nipis,100 gram,100.0,44,0.2,10.0,0.5,,tkpi_buah,88.9,0.4,0.0,Rendah Kalori & Tinggi Air,Umum
Jeruk ragi,100 gram,100.0,49,0.2,11.1,0.7,,tkpi_buah,87.6,0.5,0.0,Rendah Kalori & Tinggi Air,Umum
Kawista,100 gram,100.0,120,2.5,20.8,3.5,,tkpi_buah,71.8,4.6,2.0,Padat Kalori & Energi,Umum
Kedondong masak,100 gram,100.0,46,0.1,10.3,1.0,,tkpi_buah,88.0,2.6,0.0,Rendah Kalori & Tinggi Air,Umum
Kedondong,100 gram,100.0,47,0.2,10.4,0.5,,tkpi_buah,87.8,2.7,0.0,Rendah Kalori & Tinggi Air,Umum
Kelapa hutan kering,100 gram,100.0,623,52.1,36.5,2.0,,tkpi_buah,6.0,15.3,2.0,Padat Kalori & Energi,Umum
Kelapa muda daging,100 gram,100.0,68,0.9,14.0,1.0,,tkpi_buah,83.3,0.0,1.0,Serat Tinggi & Kalori Sedang,Umum
Kemang,100 gram,100.0,48,0.2,11.9,1.0,,tkpi_buah,86.5,1.7,0.0,Rendah Kalori & Tinggi Air,Umum
Kesemek,100 gram,100.0,78,0.4,20.0,0.8,,tkpi_buah,78.2,0.6,1.0,Serat Tinggi & Kalori Sedang,Umum
Kokosan,100 gram,100.0,86,0.2,13.0,1.6,,tkpi_buah,85.0,1.4,1.0,Serat Tinggi & Kalori Sedang,Umum
Kranji,100 gram,100.0,315,1.4,73.5,2.1,,tkpi_buah,20.1,0.0,2.0,Padat Kalori & Energi,Umum
Langsat,100 gram,100.0,56,0.2,14.3,0.9,,tkpi_buah,84.1,1.4,0.0,Rendah Kalori & Tinggi Air,Umum
Lemon,100 gram,100.0,34,0.8,6.2,0.5,,tkpi_buah,92.2,0.1,0.0,Rendah Kalori & Tinggi Air,Umum
Lontar,100 gram,100.0,27,0.2,6.0,0.4,,tkpi_buah,93.0,1.6,0.0,Rendah Kalori & Tinggi Air,Umum
Mangga benggala,100 gram,100.0,63,0.4,12.4,2.4,,tkpi_buah,84.4,5.8,1.0,Serat Tinggi & Kalori Sedang,Umum
Mangga gedung,100 gram,100.0,44,0.2,11.2,0.7,,tkpi_buah,87.4,1.6,0.0,Rendah Kalori & Tinggi Air,Umum
Mangga golek,100 gram,100.0,63,0.2,16.7,0.5,,tkpi_buah,82.2,2.3,1.0,Serat Tinggi & Kalori Sedang,Umum
Mangga harumanis,100 gram,100.0,46,0.2,11.9,0.4,,tkpi_buah,86.6,1.7,0.0,Rendah Kalori & Tinggi Air,Umum
Mangga indramayu,100 gram,100.0,72,0.2,18.7,0.8,,tkpi_buah,80.2,2.5,1.0,Serat Tinggi & Kalori Sedang,Umum
Mangga kopek,100 gram,100.0,56,0.2,14.6,0.4,,tkpi_buah,84.5,2.0,0.0,Rendah Kalori & Tinggi Air,Umum
Mangga kwini,100 gram,100.0,86,0.5,19.8,0.7,,tkpi_buah,78.6,6.5,1.0,Serat Tinggi & Kalori Sedang,Umum
Mangga manalagi,100 gram,100.0,133,0.1,32.1,1.0,,tkpi_buah,66.5,11.8,2.0,Padat Kalori & Energi,Umum
Mangga muda,100 gram,100.0,59,0.4,15.1,0.5,,tkpi_buah,83.7,0.0,0.0,Rendah Kalori & Tinggi Air,Umum
Mangga,100 gram,100.0,52,0.0,12.3,0.7,,tkpi_buah,86.6,1.6,0.0,Rendah Kalori & Tinggi Air,Umum
Manggis,100 gram,100.0,63,0.6,15.6,0.6,,tkpi_buah,83.0,1.5,1.0,Serat Tinggi & Kalori Sedang,Umum
Markisa,100 gram,100.0,144,1.2,29.8,3.5,,tkpi_buah,64.7,11.4,2.0,Padat Kalori & Energi,Umum
Matoa,100 gram,100.0,90,0.1,21.1,1.2,,tkpi_buah,76.5,0.5,1.0,Serat Tinggi & Kalori Sedang,Umum
Melon,100 gram,100.0,37,0.4,7.8,0.6,,tkpi_buah,90.8,1.0,0.0,Rendah Kalori & Tinggi Air,Umum
Menteng,100 gram,100.0,65,0.3,16.1,1.7,,tkpi_buah,79.0,0.0,1.0,Serat Tinggi & Kalori Sedang,Umum
Mentimun suri,100 gram,100.0,16,0.0,2.1,1.3,,tkpi_buah,96.3,0.9,0.0,Rendah Kalori & Tinggi Air,Umum
Nanas palembang,100 gram,100.0,58,0.2,13.3,0.7,,tkpi_buah,85.5,1.6,0.0,Rendah Kalori & Tinggi Air,Umum
Nanas,100 gram,100.0,40,0.3,9.9,0.6,,tkpi_buah,88.9,0.6,0.0,Rendah Kalori & Tinggi Air,Umum
Nangka masak,100 gram,100.0,106,0.3,27.6,1.2,,tkpi_buah,70.0,3.7,2.0,Padat Kalori & Energi,Umum
Pala daging,100 gram,100.0,42,0.2,10.9,0.3,,tkpi_buah,88.1,0.5,0.0,Rendah Kalori & Tinggi Air,Umum
Pepaya,100 gram,100.0,46,12.0,12.2,0.5,,tkpi_buah,86.7,1.6,0.0,Rendah Kalori & Tinggi Air,Umum
Pisang ambon,100 gram,100.0,108,0.8,24.3,1.0,,tkpi_buah,72.9,1.9,2.0,Padat Kalori & Energi,Umum
Pisang angleng,100 gram,100.0,68,0.2,17.2,1.3,,tkpi_buah,80.3,0.8,1.0,Serat Tinggi & Kalori Sedang,Umum
Pisang ayam,100 gram,100.0,120,0.2,26.8,1.1,,tkpi_buah,71.2,4.1,2.0,Padat Kalori & Energi,Umum
Pisang gapi,100 gram,100.0,127,0.3,31.1,2.1,,tkpi_buah,66.3,11.7,2.0,Padat Kalori & Energi,Umum
Pisang goroho,100 gram,100.0,115,0.2,27.9,1.9,,tkpi_buah,69.4,4.6,2.0,Padat Kalori & Energi,Umum
Pisang hijau,100 gram,100.0,117,0.3,28.9,2.0,,tkpi_buah,68.9,0.4,2.0,Padat Kalori & Energi,Umum
Pisang kayu,100 gram,100.0,100,0.5,23.6,1.4,,tkpi_buah,74.4,2.6,1.0,Serat Tinggi & Kalori Sedang,Umum
Pisang kepok,100 gram,100.0,109,0.5,26.3,0.8,,tkpi_buah,71.9,5.7,2.0,Padat Kalori & Energi,Umum
Pisang ketip,100 gram,100.0,145,0.3,34.5,1.1,,tkpi_buah,63.4,6.6,2.0,Padat Kalori & Energi,Umum
Pisang kidang,100 gram,100.0,96,0.2,22.5,1.0,,tkpi_buah,75.4,0.6,1.0,Serat Tinggi & Kalori Sedang,Umum
Pisang lampung,100 gram,100.0,99,0.2,25.6,1.3,,tkpi_buah,72.1,4.3,1.0,Serat Tinggi & Kalori Sedang,Umum
Pisang mas bali ampenan,100 gram,100.0,92,0.2,21.0,1.4,,tkpi_buah,76.8,3.7,1.0,Serat Tinggi & Kalori Sedang,Umum
Pisang mas bali kopang,100 gram,100.0,127,0.2,31.8,1.4,,tkpi_buah,64.2,3.7,2.0,Padat Kalori & Energi,Umum
Pisang mas,100 gram,100.0,127,0.2,33.6,1.4,,tkpi_buah,64.2,1.4,2.0,Padat Kalori & Energi,Umum
Pisang raja sereh,100 gram,100.0,108,0.3,28.2,1.3,,tkpi_buah,69.3,0.7,2.0,Padat Kalori & Energi,Umum
Pisang raja,100 gram,100.0,120,0.2,31.8,1.2,,tkpi_buah,65.8,5.3,2.0,Padat Kalori & Energi,Umum
Pisang rotan,100 gram,100.0,98,1.2,20.5,1.3,,tkpi_buah,76.1,1.0,1.0,Serat Tinggi & Kalori Sedang,Umum
Pisang talas,100 gram,100.0,113,0.2,26.7,1.2,,tkpi_buah,71.0,4.4,2.0,Padat Kalori & Energi,Umum
Pisang tujuh bulan,100 gram,100.0,94,0.2,22.5,0.6,,tkpi_buah,75.9,3.7,1.0,Serat Tinggi & Kalori Sedang,Umum
Pisang ua,100 gram,100.0,128,0.5,30.2,0.8,,tkpi_buah,67.8,8.1,2.0,Padat Kalori & Energi,Umum
Pisang uli,100 gram,100.0,134,0.5,35.5,1.1,,tkpi_buah,61.8,1.4,2.0,Padat Kalori & Energi,Umum
Purut,100 gram,100.0,76,1.1,15.2,4.1,,tkpi_buah,81.1,1.7,1.0,Serat Tinggi & Kalori Sedang,Umum
Rambutan binjai,100 gram,100.0,76,0.2,18.0,0.5,,tkpi_buah,81.0,3.8,1.0,Serat Tinggi & Kalori Sedang,Umum
Rambutan,100 gram,100.0,69,0.1,18.1,0.9,,tkpi_buah,80.5,0.8,1.0,Serat Tinggi & Kalori Sedang,Umum
Salak bali,100 gram,100.0,57,0.1,13.6,0.5,,tkpi_buah,85.1,1.3,0.0,Rendah Kalori & Tinggi Air,Umum
Salak medan,100 gram,100.0,55,0.2,12.8,0.4,,tkpi_buah,78.1,3.2,0.0,Rendah Kalori & Tinggi Air,Umum
Salak pondoh,100 gram,100.0,87,0.4,20.1,0.8,,tkpi_buah,77.9,0.0,1.0,Serat Tinggi & Kalori Sedang,Umum
Salak,100 gram,100.0,77,0.0,20.9,0.4,,tkpi_buah,78.0,0.0,1.0,Serat Tinggi & Kalori Sedang,Umum
Sawo duren,100 gram,100.0,64,3.1,8.0,1.0,,tkpi_buah,87.3,0.8,2.0,Padat Kalori & Energi,Umum
Sawo kecik,100 gram,100.0,111,2.3,21.6,0.9,,tkpi_buah,73.8,1.0,2.0,Padat Kalori & Energi,Umum
Sawo manila,100 gram,100.0,92,1.1,22.4,0.5,,tkpi_buah,75.5,9.5,1.0,Serat Tinggi & Kalori Sedang,Umum
Semangka,100 gram,100.0,28,0.2,6.9,0.5,,tkpi_buah,92.1,0.4,0.0,Rendah Kalori & Tinggi Air,Umum
Sirsak,100 gram,100.0,65,0.3,16.3,1.0,,tkpi_buah,81.7,3.2,1.0,Serat Tinggi & Kalori Sedang,Umum
Sowa,100 gram,100.0,48,0.6,9.1,1.6,,tkpi_buah,87.7,45.0,0.0,Rendah Kalori & Tinggi Air,Umum
Srikaya,100 gram,100.0,63,0.5,13.9,1.1,,tkpi_buah,83.4,2.1,1.0,Serat Tinggi & Kalori Sedang,Umum
Sukun muda,100 gram,100.0,119,0.2,28.1,1.4,,tkpi_buah,69.4,1.4,2.0,Padat Kalori & Energi,Umum
Sukun tua,100 gram,100.0,126,0.2,24.5,1.6,,tkpi_buah,67.8,1.5,2.0,Padat Kalori & Energi,Umum
Vigus,100 gram,100.0,44,0.1,8.3,2.4,,tkpi_buah,88.0,0.0,0.0,Rendah Kalori & Tinggi Air,Umum
Wani,100 gram,100.0,74,0.3,17.1,0.8,,tkpi_buah,81.2,3.1,1.0,Serat Tinggi & Kalori Sedang,Umum
